id,name,region,province,lat,lon,type,dynasty,area,material,roof_slope,wall_thickness,window_ratio,rainfall,temperature,slope,culture_tag,quote
1,北京四合院,华北地区,北京市,39.9042,116.4074,四合院,明清,580,砖木,28,0.72,0.16,600,12,2,儒家礼制,庭院有序，体现家族伦理与礼制空间。
2,山西大院,华北地区,山西省,37.8706,112.5489,晋商大院,明清,760,砖木,26,0.78,0.15,520,11,6,晋商文化,深宅高墙与多进院落承载家族经营与礼法秩序。
3,陕北窑洞,华北地区,陕西省,36.5997,109.4839,窑洞,明清,260,黄土石材,12,1.10,0.12,510,10,18,天人合一,依山就势而居，冬暖夏凉。
4,河南地坑院,华北地区,河南省,34.7833,111.2000,地坑院,明清,390,夯土石材,10,0.95,0.10,620,14,8,黄土营造,下沉式院落以厚土蓄热，形成隐于地表的居住智慧。
5,河北石头村,华北地区,河北省,38.3580,113.6720,石头村落,明清,310,石材木构,22,0.68,0.14,560,12,15,山地聚落,石墙石巷顺山就势，展现太行山地聚落适应性。
6,王家大院,华北地区,山西省,37.3705,112.1302,晋商大院,明清,820,砖木石,26,0.78,0.14,520,11,6,晋商文化,院落层叠规制严谨，集居住防御经商于一体的北方大型民居群落。
7,渠家大院,华北地区,山西省,37.3658,112.1265,晋商大院,明清,780,砖木石,26,0.76,0.15,520,11,6,耕读传家,多进院落并联布局，木雕砖雕石雕技艺精湛。
8,常家庄园,华北地区,山西省,37.4012,112.0896,庄园式民居,明清,900,砖木石,24,0.74,0.16,520,11,6,儒商文化,规模宏大院落连片，兼具书院园林居住多重功能。
9,晋南非院窑洞,华北地区,山西省,35.0386,111.0015,靠崖窑洞,明清,320,生土砖石,12,1.00,0.10,520,11,18,生土营造,依托黄土山崖开凿，冬暖夏凉适配北方干旱气候。
10,冀南石板房,华北地区,河北省,36.6215,114.4879,石板院落,明清,260,石材砖木,22,0.70,0.14,560,12,15,就地取材,全屋石材构建墙体屋面，坚固耐风化适配山地环境。
11,东北大院,东北地区,辽宁省,41.8057,123.4315,东北大院,明清,620,砖木,25,0.76,0.14,690,7,2,寒地聚居,厚墙大院与火炕系统体现寒冷地区保温逻辑。
12,福建土楼,华东地区,福建省,25.8881,116.6520,土楼,明清,980,夯土木构,29,0.90,0.12,1600,20,10,防御聚落,巨型环楼以共居共享回应山区安全与宗族组织。
13,鲁中囤顶,华东地区,山东省,36.8065,117.8417,囤顶合院,明清,300,砖木麦草,24,0.68,0.16,700,12,2,齐鲁民居,屋顶微拱囤形防雨防风，北方平原特有的民居形制。
14,胶东海草房,华东地区,山东省,37.5126,122.1189,海草茅屋,明清,220,石材海草,34,0.76,0.14,800,12,2,滨海民居,以海草覆顶石材筑基，耐腐蚀抗海风适配胶东沿海。
15,苏北江淮合院,华东地区,江苏省,33.6238,119.0165,江淮合院,明清,380,砖木小青瓦,30,0.65,0.20,1120,16,2,水乡民居,天井通透院落紧凑，适配江淮湿润多雨气候。
16,浙东台门,华东地区,浙江省,28.6678,121.4235,台门大院,明清,520,砖木石雕,28,0.63,0.18,1550,17,3,浙东宗族,门楼高大多进纵深，聚族而居彰显宗族礼制。
17,浙中夯土围楼,华东地区,浙江省,29.1032,119.6487,夯土围屋,明清,680,夯土木材,26,0.64,0.16,1600,17,3,山居防御,环形夯土外墙合围，兼具居住与山地防御功能。
18,赣北天井式,华东地区,江西省,29.7035,115.9786,天井民居,明清,420,砖木青砖,28,0.62,0.18,1550,17,2,赣派营造,小天井大出檐，通风采光适配江南湿热气候。
19,赣东徽饶派,华东地区,江西省,28.4562,117.9753,徽饶民居,明清,480,砖木马头墙,30,0.61,0.19,1580,17,3,徽赣交融,承袭徽派马头墙雕刻技艺，融合赣地民居特色。
20,闽中方形土楼,华东地区,福建省,26.2345,117.6389,方形土楼,明清,720,夯土竹木,29,0.90,0.12,1600,20,10,客家防御,方形合围高墙厚筑，聚族而居兼具极强防御功能。
21,闽东厝式古村,华东地区,福建省,26.6538,119.5276,闽东古厝,明清,390,砖木石雕,32,0.71,0.18,1530,19,2,闽东宗族,马鞍风火墙曲脊翘角，木雕精美承载闽东海洋文化。
22,徽派民居,江南地区,安徽省,29.7092,118.3151,徽派民居,明清,430,青砖木材,35,0.56,0.19,1650,16,9,商贾文化,粉墙黛瓦与马头墙共同构成地域文脉。
23,苏州民居,江南地区,江苏省,31.2989,120.5853,苏州民居,明清,350,木构粉墙,32,0.48,0.22,1120,17,3,园林人居,宅园相融与临水布局共同塑造江南生活美学。
24,浙江水乡民居,江南地区,浙江省,30.8739,120.1023,水乡民居,明清,300,木构青瓦,34,0.45,0.24,1450,18,2,河网聚落,枕河而居与小桥巷道构成江南水乡空间肌理。
25,上海石库门,江南地区,上海市,31.2304,121.4737,石库门,民国,420,砖木,20,0.52,0.27,1160,18,1,海派文化,中西合璧的里弄住宅见证近代城市生活转型。
26,湘北窨子屋,中南地区,湖南省,27.5589,109.9765,窨子屋,明清,360,木材青砖,30,0.66,0.18,1600,16,2,湘西古居,高墙围合内院幽深，木结构为主适配山地潮湿环境。
27,湘南板梁古村,中南地区,湖南省,25.7968,112.9236,湘南古院,明清,550,砖木石雕,28,0.65,0.18,1480,16,3,宗族聚居,连片古院格局规整，巷道纵横承载湘南宗族文化。
28,鄂北封火山墙,中南地区,湖北省,32.0487,112.1489,山墙合院,明清,330,砖木青瓦,26,0.64,0.16,1420,15,2,荆楚民居,马头封火山墙防火隔巷，院落简约适配江汉平原。
29,鄂西土家族吊脚楼,中南地区,湖北省,30.2932,109.4781,依山吊脚楼,明清,280,原木竹木,38,0.78,0.24,1520,15,24,土家文化,半悬半依山地而建，通风防潮避蛇虫适配武陵山区。
30,广东骑楼,岭南地区,广东省,23.1291,113.2644,骑楼,民国,360,砖木,18,0.44,0.28,1700,23,3,市井商业,连续廊道连接商业与公共生活。
31,开平碉楼,岭南地区,广东省,22.3764,112.6981,碉楼,民国,510,砖石混凝土,24,0.63,0.21,1800,22,6,中西合璧,侨乡建筑融合防御功能与西式装饰。
32,客家围屋,岭南地区,广东省,24.2945,116.1226,客家围屋,明清,880,夯土砖木,20,0.82,0.13,1500,20,8,宗族聚居,围合式巨构强调防御性与家族共同体秩序。
33,海南船型屋,岭南地区,海南省,18.7751,109.5178,船型屋,明清,240,茅草竹木,45,0.22,0.34,1700,25,4,海岛生态,高坡顶与轻质材料共同回应热带海岛气候。
34,桂北侗族干栏,岭南地区,广西壮族自治区,25.7945,109.6176,侗族干栏楼,明清,260,原木杉木,39,0.38,0.22,1500,19,28,侗乡营造,全木干栏式悬空建造，适配桂北山地多雨潮湿环境。
35,桂南壮族高脚,岭南地区,广西壮族自治区,22.8282,108.3278,壮族高脚楼,明清,230,竹木土石,35,0.40,0.24,1480,21,6,壮乡建筑,高脚离地架空设计，防虫涝适配岭南湿热气候。
36,粤东四角楼,岭南地区,广东省,24.2978,116.1162,客家四角楼,明清,650,夯土砖木,24,0.70,0.16,1720,22,3,客家围合,四角碉楼护卫合院，攻防一体典型粤东客家民居。
37,粤北过山瑶山寨,岭南地区,广东省,24.9265,113.3478,瑶寨山居,明清,180,竹木茅草,42,0.45,0.20,1700,20,18,瑶族古居,依山散建竹木为屋，简约质朴适配粤北山区林地环境。
38,重庆吊脚楼,西南地区,重庆市,29.5630,106.5516,吊脚楼,明清,340,杉木,39,0.38,0.25,1100,19,24,山地营造,架空底层顺应陡坡地形并改善通风防潮。
39,川西民居,西南地区,四川省,30.6586,104.0648,川西民居,明清,460,木石夯土,30,0.67,0.18,900,15,12,天府民居,穿斗与院坝结合形成适宜盆地气候的居住格局。
40,云南一颗印,西南地区,云南省,25.0438,102.7100,一颗印,明清,410,土木,26,0.62,0.17,980,16,7,坝区院落,中轴对称的小院格局映射滇中农耕社会秩序。
41,贵州侗寨鼓楼,西南地区,贵州省,26.5982,108.4911,侗寨鼓楼,明清,280,杉木,42,0.32,0.30,1250,16,28,鼓楼文化,鼓楼既是公共议事中心也是族群精神象征。
42,西藏碉房,西南地区,西藏自治区,29.6520,91.1721,碉房,明清,500,石木夯土,16,0.88,0.11,450,8,20,高原防御,厚重墙体与小窗洞适应高寒高原并兼顾防御需求。
43,川南穿斗式草房,西南地区,四川省,28.7715,104.6293,穿斗草屋,明清,240,竹木茅草,28,0.67,0.20,1100,18,12,川南山居,穿斗木构架承重，茅草覆顶适配川南丘陵湿热气候。
44,川北依山夯土,西南地区,四川省,32.4356,105.8472,依山夯土房,明清,310,夯土木材,26,0.71,0.16,900,16,12,巴山民居,依托山势夯土筑墙，就地取材适配川北山地。
45,滇西白族三坊一照壁,西南地区,云南省,25.6065,100.2679,白族合院,明清,460,砖木大理石,26,0.70,0.18,1450,16,7,白族建筑,三坊合围一壁照墙，白墙青瓦融合大理民族风情。
46,滇南傣族竹楼,西南地区,云南省,22.0174,100.8018,干栏竹楼,明清,200,竹木茅草,39,0.35,0.28,1600,22,3,傣家文化,高架干栏全竹构建，通风避潮适配热带雨林气候。
47,滇西北纳西族木楞房,西南地区,云南省,26.8721,100.2273,木楞房,明清,340,原木松木,25,0.73,0.16,1000,14,10,纳西人居,整木垒砌无榫无钉，古朴简约适配高原山地气候。
48,新疆阿以旺,西北地区,新疆维吾尔自治区,43.8256,87.6168,阿以旺,明清,370,土坯木构,8,0.86,0.09,280,13,4,绿洲人居,内向院落与厚土墙体适应干旱炎热的绿洲环境。
49,蒙古包,西北地区,内蒙古自治区,40.8175,111.7652,蒙古包,汉唐,95,毛毡木架,50,0.18,0.06,350,6,2,草原游牧,可拆装圆形居所体现游牧社会的流动性与环境适应。
50,陇东下沉窑洞,西北地区,甘肃省,35.7231,107.8456,地坑院窑洞,明清,450,生土木材,10,0.95,0.10,400,10,8,黄土人居,平地挖坑四向凿窑，地下院落隐匿于黄土塬面。
